S0026547,심부름,1168010500,서울특별시,강남구,삼성동,\N,1168058000,삼성1동,116804166760,테헤란로81길
S0032030,야식,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411503181049,추동로
S0032031,야식,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411503181049,추동로
S0032032,야식,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411503181049,추동로
S0032033,야식,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411503181049,추동로
S0035196,심부름,4613012000,전라남도,여수시,문수동,\N,4613071000,문수동,461303282027,문수로
S0035197,심부름,4613012000,전라남도,여수시,문수동,\N,4613071000,문수동,461303282027,문수로
S0063386,심부름,4817011900,경상남도,진주시,상대동,\N,4817067300,상대동,481703332077,동진로
S0075136,치킨,1156013200,서울특별시,영등포구,신길동,\N,1156068000,신길6동,115604154654,여의대방로27길
S0075137,치킨,1156013200,서울특별시,영등포구,신길동,\N,1156068000,신길6동,115604154654,여의대방로27길
S0081321,치킨,1156013200,서울특별시,영등포구,신길동,\N,1156068000,신길6동,115604154654,여의대방로27길
S0083468,심부름,4139010600,경기도,시흥시,은행동,\N,4139054000,은행동,413904855370,은계번영길
S0088711,심부름,4139010600,경기도,시흥시,은행동,\N,4139054000,은행동,413904855370,은계번영길
S0088849,심부름,4139010600,경기도,시흥시,은행동,\N,4139054000,은행동,413904855370,은계번영길
S0095341,심부름,4139010600,경기도,시흥시,은행동,\N,4139054000,은행동,413904855370,은계번영길
S0099253,심부름,4139010600,경기도,시흥시,은행동,\N,4139054000,은행동,413904855370,은계번영길
S0100629,치킨,1156013200,서울특별시,영등포구,신길동,\N,1156068000,신길6동,115604154654,여의대방로27길
S0113363,한식,4719011100,경상북도,구미시,신평동,\N,4719059000,신평1동,471903308041,신비로
S0113365,심부름,4719010900,경상북도,구미시,형곡동,\N,4719058200,형곡1동,471903308042,신시로
S0113366,찜탕,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,411504343251,신흥로222번길
S0113367,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
S0113368,치킨,4817011900,경상남도,진주시,상대동,\N,4817067300,상대동,481704796319,대신로299번길
S0113369,치킨,4122025321,경기도,평택시,안중읍,안중리,4122025300,안중읍,\N,\N
S0113370,카페/디저트,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,411504343311,의정로22번길
S0113371,치킨,2644010400,부산광역시,강서구,명지동,\N,2644053500,명지1동,264403350857,명지국제5로
