S0118766,치킨,4723010200,경상북도,영천시,망정동,\N,4723051000,동부동,472304730196,망정3길
S0118767,치킨,4115010500,경기도,의정부시,용현동,\N,4115057300,송산1동,411504343357,충의로57번길
S0118772,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
S0118773,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
S0118780,한식,4623010800,전라남도,광양시,광영동,\N,4623054000,광영동,462304655433,정수2길
S0118788,치킨,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411504343093,동일로454번길
S0118789,치킨,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411504343093,동일로454번길
S0118793,한식,4115011000,경기도,의정부시,가능동,\N,4115061500,흥선동,411504343441,호국로1111번길
S0118794,한식,4115011000,경기도,의정부시,가능동,\N,4115061500,흥선동,411504343441,호국로1111번길
S0118795,한식,4115011000,경기도,의정부시,가능동,\N,4115061500,흥선동,411504343441,호국로1111번길
S0118796,한식,4115011000,경기도,의정부시,가능동,\N,4115061500,흥선동,411504343441,호국로1111번길
S0118797,한식,4115011000,경기도,의정부시,가능동,\N,4115061500,흥선동,411504343441,호국로1111번길
S0118798,한식,4115011000,경기도,의정부시,가능동,\N,4115061500,흥선동,411504343441,호국로1111번길
S0118800,중식,4115010100,경기도,의정부시,의정부동,\N,4115059500,가능동,411503181002,가능로
S0118801,중식,4115010100,경기도,의정부시,의정부동,\N,4115059500,가능동,411503181002,가능로
S0118802,중식,4115010100,경기도,의정부시,의정부동,\N,4115059500,가능동,411503181002,가능로
S0118806,한식,4623010600,전라남도,광양시,중동,\N,4623053000,중마동,462304655184,발섬6길
S0118815,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343290,용현로120번길
S0118816,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343290,용현로120번길
S0118817,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343290,용현로120번길
S0118818,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343289,용현로105번길
S0118819,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343289,용현로105번길
S0118820,중식,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
S0118821,중식,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
S0118822,중식,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
S0118823,중식,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
S0118824,중식,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
S0118825,중식,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
S0118826,중식,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
S0118827,중식,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
S0118830,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411503181033,오목로
S0118831,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411503181033,오목로
S0118833,돈까스/일식,4715010500,경상북도,김천시,평화동,\N,4715053600,평화남산동,471504718889,평화장미길
S0118834,돈까스/일식,4715010800,경상북도,김천시,신음동,\N,4715057500,대신동,471504718582,신양4길
S0118835,분식,4150010200,경기도,이천시,관고동,\N,4150053000,관고동,415004421435,설봉로55번길
S0118841,카페/디저트,1153010200,서울특별시,구로구,구로동,\N,1153056000,구로5동,115304148267,구로중앙로28길
S0118845,패스트푸드,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343198,시민로131번길
S0118846,찜탕,4817011900,경상남도,진주시,상대동,\N,4817067300,상대동,481704796800,솔밭로132번길
S0118847,야식,4161025027,경기도,광주시,오포읍,양벌리,4161025000,오포읍,416103211017,양벌로
S0118848,한식,4127110300,경기도,안산시 상록구,사동,\N,4127153200,사이동,412714370236,선진4길
S0118855,중식,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411503181019,부용로
S0118856,중식,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411503181019,부용로
S0118857,중식,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411503181019,부용로
S0118858,중식,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411503181019,부용로
S0118859,중식,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411503181019,부용로
S0118860,중식,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411503181019,부용로
S0118861,중식,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411503181019,부용로
S0118862,중식,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411503181019,부용로
S0118867,아시안/양식,4139012400,경기도,시흥시,조남동,\N,4139057000,목감동,413903350920,목감둘레로
S0118868,족발/보쌈,2644010400,부산광역시,강서구,명지동,\N,2644053500,명지1동,264403350851,명지국제1로
S0118869,돈까스/일식,4150010200,경기도,이천시,관고동,\N,4150053000,관고동,415004421435,설봉로55번길
S0118870,돈까스/일식,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,\N,\N
S0118871,피자,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343377,태평로24번길
S0118872,피자,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343377,태평로24번길
S0118873,피자,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343377,태평로24번길
S0118874,피자,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343377,태평로24번길
S0118875,피자,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343377,태평로24번길
S0118876,피자,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343377,태평로24번길
S0118877,야식,1153010200,서울특별시,구로구,구로동,\N,1153056000,구로5동,115304148267,구로중앙로28길
S0118881,돈까스/일식,1162010100,서울특별시,관악구,봉천동,\N,1162060500,은천동,116203005083,봉천로
S0118882,돈까스/일식,1162010100,서울특별시,관악구,봉천동,\N,1162060500,은천동,116203005083,봉천로
S0118883,족발/보쌈,4127110400,경기도,안산시 상록구,본오동,\N,4127155000,본오2동,412713190036,샘골로
S0118889,패스트푸드,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411503215066,평화로
S0118895,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343295,용현로160번길
S0118896,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343295,용현로160번길
S0118897,족발/보쌈,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411503181039,장곡로
S0118898,족발/보쌈,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411503181039,장곡로
S0118899,족발/보쌈,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411503181039,장곡로
S0118902,치킨,1153010700,서울특별시,구로구,개봉동,\N,1153076000,개봉3동,115304148033,개봉로16길
S0118903,치킨,1153010700,서울특별시,구로구,개봉동,\N,1153076000,개봉3동,115304148033,개봉로16길
S0118905,돈까스/일식,4717034021,경상북도,안동시,풍천면,갈전리,4717034000,풍천면,471703351091,천년숲서로
S0118907,피자,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411503215066,평화로
S0118908,피자,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411503215066,평화로
